id,stationery
1,"['笔袋', '文件套', '钢笔']"
2,"['电脑夹', '橡皮', '便利贴']"
3,['中性笔']
4,"['水彩笔', '复写纸', '便利贴']"
5,"['包装用品', '书立', '圆珠笔', '中性笔']"
6,"['证书系列', '中性笔', '便利贴']"
7,['铅笔']
8,"['便签纸', '圆珠笔', '铅笔', '用友耗材']"
9,['起钉器']
10,['中性笔']
11,"['胶带', '印章箱', '圆珠笔', '橡皮', '板夹']"
12,"['胶带', '证书系列', '笔袋', '会议记录本', '文件篮', '凭证单据', '橡皮', '中性笔', '便利贴']"
13,['档案盒']
14,"['印台', '铅笔', '无线装订本']"
15,"['无孔文件夹', '橡皮']"
16,"['证书系列', '笔筒', '胶棒', '毛笔']"
17,['笔筒']
18,['打孔器']
19,['印章箱']
20,['资料架']
21,['圆珠笔']
22,"['台座系列', '剪刀']"
23,['中性笔']
24,"['水彩笔', '白板笔', '胶棒', '皮面本', '橡皮']"
25,"['蜡笔', '凭证单据', '胶带座', '圆珠笔', '铅笔', '活页本', '票据夹', '橡皮', '软笔']"
26,"['胶带', '卡片袋']"
27,['便利贴']
28,"['印章箱', '铅笔', '仪尺', '无线装订本']"
29,['圆珠笔']
30,"['档案袋', '卡片袋', '笔筒', '胶棒', '修正带', '无线装订本']"
31,"['削笔刀', '胶带', '资料架', '便利贴']"
32,"['胶带', '墨水笔芯', '钥匙管理', '号码机', '圆珠笔', '铅笔']"
33,"['削笔刀', '圆珠笔', '活页本', '毛笔', '中性笔']"
34,"['手提金库', '圆珠笔', '账本账册', '无线装订本', '名片盒', '中性笔']"
35,"['档案盒', '白板笔', '记号笔']"
36,"['剪刀', '无线装订本']"
37,['笔筒']
38,['卡片袋']
39,"['文件柜', '圆珠笔', '活页本', '中性笔']"
40,"['笔袋', '胶棒']"
41,"['卡片袋', '铅笔', '仪尺', '修正带', '无线装订本', '资料架']"
42,"['档案袋', '蜡笔', '电脑夹', '订书机', '剪刀', '活页本', '无线装订本', '毛笔', '橡皮', '软笔', '中性笔', '便利贴']"
43,"['手提金库', '便利贴']"
44,['卡片袋']
45,"['胶带', '台座系列', '水彩笔', '胶棒', '铅笔', '无线装订本', '报刊架', '便利贴']"
46,['电脑夹']
47,"['胶带', '剪刀']"
48,['铅笔']
49,['修正液']
50,"['胶带', '证书系列', '会议记录本', '分类文件夹', '书立', '圆珠笔', '铅笔', '活页本', '用友耗材', '名片盒']"
51,"['相册', '胶棒', '铅笔', '仪尺']"
52,['卡片袋']
53,"['记号笔', '计算器', '圆珠笔', '中性笔']"
54,"['白板系列', '档案袋', '会议记录本', '订书机', '笔筒', '文件套', '圆珠笔', '钢笔', '橡皮']"
55,"['图纸夹', '皮面本', '无线装订本', '中性笔', '便利贴']"
56,"['会议记录本', '剪刀', '中性笔', '便利贴']"
57,"['档案袋', '卡片袋', '打孔器']"
58,"['胶带', '票夹', '钥匙管理', '号码机', '资料册', '铅笔']"
59,"['档案盒', '相册', '计算器', '炭笔', '铅笔', '名片盒']"
60,"['剪刀', '铅笔', '毛笔']"
61,"['有孔文件夹', '白板笔', '支票夹', '圆珠笔', '票据夹', '挂劳夹', '中性笔']"
62,"['剪刀', '仪尺']"
63,"['档案盒', '仪尺', '中性笔']"
64,"['档案袋', '印台', '铅笔', '毛笔', '橡皮']"
65,"['剪刀', '铅笔', '无线装订本']"
66,['中性笔']
67,['电脑夹']
68,"['胶棒', '美工刀']"
69,"['会议记录本', '仪尺', '中性笔']"
70,"['手提金库', '印章箱', '图纸夹', '复写纸', '铅笔', '橡皮', '中性笔']"
71,['美工刀']
72,"['证书系列', '报告夹', '文件套', 'CD包/册', '中性笔']"
73,"['笔袋', '订书机', '印台', '胶棒', '资料册', 'CD包/册', '中性笔']"
74,"['无线装订本', '中性笔']"
76,"['圆珠笔', '铅笔', '毛笔', '中性笔']"
77,"['台座系列', '笔袋', '会议记录本', '剪刀', '中性笔']"
78,"['便签纸', '胶带', '凭证单据', '笔筒', '拉链袋']"
